Gender,Age,Height_cm,Weight_kg,BMI,Fitness_Goal,Goal_Weight_kg,Has_No_Equipment,Has_Dumbbells,Has_Stationary_Bike,Has_Resistance_Band,Has_Yoga_Mat
Other,37,194,101,26.8,Build Muscle,111,1,0,0,1,1
Other,20,177,91,29.0,Get Fit,91,1,0,0,0,1
Male,54,187,52,14.9,Get Fit,52,1,0,0,0,1
Male,48,183,106,31.7,Build Muscle,110,1,0,0,1,1
Female,40,176,92,29.7,Build Muscle,95,0,0,1,0,0
Female,49,168,101,35.8,Get Fit,101,0,0,0,1,0
Male,38,166,91,33.0,Lose Weight,76,1,0,0,0,1
Other,52,179,102,31.8,Lose Weight,96,0,0,1,1,1
Female,21,163,84,31.6,Get Fit,84,0,0,1,0,0
Female,49,157,53,21.5,Get Fit,53,0,1,0,1,1
Other,18,185,102,29.8,Lose Weight,96,0,0,0,1,0
Male,59,159,113,44.7,Get Fit,113,0,0,1,0,1
Female,48,180,81,25.0,Build Muscle,91,0,0,0,1,0
Male,56,182,67,20.2,Lose Weight,60,0,0,1,0,1
Male,36,196,88,22.9,Get Fit,88,0,1,0,1,1
Other,48,172,92,31.1,Get Fit,92,0,1,0,1,1
Male,33,186,99,28.6,Lose Weight,84,1,0,1,0,0
Other,48,195,98,25.8,Build Muscle,102,1,1,0,0,0
Other,55,171,62,21.2,Build Muscle,65,1,0,1,1,0
Male,44,191,69,18.9,Lose Weight,59,0,0,1,1,0
Other,23,171,118,40.4,Build Muscle,125,1,0,1,1,0
Male,33,190,86,23.8,Lose Weight,72,0,0,0,1,0
Male,58,195,62,16.3,Build Muscle,66,1,0,1,1,0
Female,21,168,95,33.7,Build Muscle,103,0,1,0,0,0
Other,44,186,73,21.1,Lose Weight,68,0,0,0,0,1
Female,57,193,80,21.5,Build Muscle,84,0,0,0,1,0
Other,34,179,82,25.6,Get Fit,82,0,0,0,1,0
Female,52,160,59,23.0,Build Muscle,66,0,0,1,1,1
Female,47,169,75,26.3,Build Muscle,84,0,1,0,0,0
Female,54,172,87,29.4,Get Fit,87,1,0,0,1,0
Female,18,186,56,16.2,Get Fit,56,1,0,1,1,0
Other,40,164,74,27.5,Get Fit,74,1,1,0,0,0
Other,59,152,89,38.5,Build Muscle,91,1,1,1,0,0
Female,38,197,103,26.5,Lose Weight,97,0,0,0,0,1
Female,51,182,84,25.4,Lose Weight,77,0,0,1,0,1
Male,47,154,68,28.7,Lose Weight,55,1,0,1,1,0
Female,18,166,118,42.8,Lose Weight,108,0,0,1,1,0
Other,41,156,79,32.5,Build Muscle,81,0,0,1,1,1
Male,59,154,109,46.0,Get Fit,109,1,0,0,1,0
Male,20,152,88,38.1,Build Muscle,91,0,1,0,0,0
Other,26,174,108,35.7,Build Muscle,118,0,1,0,0,1
Female,59,156,112,46.0,Get Fit,112,1,0,1,0,0
Other,41,163,106,39.9,Build Muscle,111,1,0,1,0,0
Other,59,172,57,19.3,Build Muscle,63,1,0,0,0,0
Female,23,192,77,20.9,Get Fit,77,1,0,0,1,1
Female,33,158,76,30.4,Lose Weight,61,1,1,0,0,1
Female,27,200,50,12.5,Build Muscle,54,0,0,0,0,1
Female,29,157,53,21.5,Lose Weight,50,0,1,1,0,0
Male,29,166,56,20.3,Lose Weight,42,1,0,0,0,1
Other,22,180,107,33.0,Build Muscle,117,1,0,1,1,0
Male,57,152,116,50.2,Build Muscle,125,1,1,0,0,1
Female,45,193,63,16.9,Build Muscle,72,1,0,0,0,0
Female,56,159,58,22.9,Lose Weight,51,0,1,1,0,1
Other,51,168,108,38.3,Get Fit,108,1,0,1,1,0
Male,59,191,120,32.9,Get Fit,120,0,0,0,1,0
Female,32,176,93,30.0,Build Muscle,101,1,0,1,0,0
Female,38,192,82,22.2,Build Muscle,86,1,0,0,1,1
Male,23,177,62,19.8,Get Fit,62,0,1,1,0,1
Male,55,185,92,26.9,Get Fit,92,0,0,0,1,0
Female,60,198,104,26.5,Get Fit,104,0,0,1,0,0
Other,37,172,63,21.3,Get Fit,63,0,1,1,0,1
Female,32,156,94,38.6,Get Fit,94,1,0,1,0,0
Other,32,177,53,16.9,Get Fit,53,1,0,1,1,0
Female,37,171,94,32.1,Lose Weight,89,0,0,0,0,1
Other,43,154,68,28.7,Get Fit,68,1,0,1,0,1
Other,31,174,103,34.0,Build Muscle,110,0,0,1,0,0
Female,38,199,60,15.2,Lose Weight,55,0,0,0,0,1
Male,23,167,106,38.0,Get Fit,106,0,0,0,1,1
Female,35,163,115,43.3,Lose Weight,107,1,0,1,0,0
Other,55,181,117,35.7,Get Fit,117,1,1,0,0,0
Female,56,153,50,21.4,Lose Weight,43,0,1,0,0,0
Female,36,170,65,22.5,Lose Weight,55,1,1,0,1,0
Female,52,195,79,20.8,Get Fit,79,1,1,1,0,0
Other,20,177,52,16.6,Build Muscle,55,0,0,0,1,1
Other,43,195,103,27.1,Build Muscle,106,1,0,1,0,0
Male,57,179,96,30.0,Lose Weight,87,0,1,0,0,0
Female,55,175,117,38.2,Lose Weight,108,0,1,1,0,0
Female,28,154,115,48.5,Get Fit,115,0,0,0,0,1
Other,30,199,94,23.7,Build Muscle,98,1,0,0,0,0
Male,34,162,72,27.4,Get Fit,72,1,0,0,0,0
Male,58,181,109,33.3,Get Fit,109,0,0,1,1,1
Female,27,178,58,18.3,Build Muscle,67,0,0,1,1,1
Male,40,182,59,17.8,Build Muscle,68,1,0,0,0,1
Female,36,154,61,25.7,Get Fit,61,0,1,0,1,1
Other,53,200,55,13.8,Build Muscle,60,0,0,0,1,1
Other,27,153,107,45.7,Lose Weight,92,1,1,0,0,0
Male,33,195,106,27.9,Build Muscle,116,0,1,0,1,1
Female,36,174,102,33.7,Build Muscle,104,1,1,1,0,0
Male,53,193,99,26.6,Build Muscle,105,0,1,0,1,1
Male,55,192,68,18.4,Build Muscle,74,0,1,1,1,0
Other,23,169,98,34.3,Get Fit,98,1,1,0,0,0
Other,60,177,115,36.7,Build Muscle,117,0,1,1,0,0
Male,39,199,112,28.3,Lose Weight,106,0,1,0,0,0
Male,36,200,62,15.5,Get Fit,62,1,0,1,0,1
Female,57,158,98,39.3,Lose Weight,93,0,0,0,0,1
Male,46,152,102,44.1,Build Muscle,107,0,0,1,0,1
Other,46,164,118,43.9,Lose Weight,111,0,1,1,0,0
Other,54,178,109,34.4,Build Muscle,117,1,0,0,1,1
Male,56,158,82,32.8,Lose Weight,69,1,0,1,0,0
Other,51,157,86,34.9,Lose Weight,71,0,0,1,0,0
Female,50,159,105,41.5,Lose Weight,99,1,0,1,0,0
Female,21,175,114,37.2,Build Muscle,119,1,0,1,0,0
Male,19,170,62,21.5,Get Fit,62,1,1,1,0,0
Male,36,180,67,20.7,Get Fit,67,1,0,0,1,0
Male,19,166,77,27.9,Lose Weight,66,1,0,0,1,1
Female,33,169,65,22.8,Lose Weight,59,0,0,0,1,1
Male,25,181,118,36.0,Lose Weight,105,0,1,1,0,1
Male,36,177,50,16.0,Get Fit,50,0,1,0,1,0
Male,60,192,60,16.3,Get Fit,60,1,0,0,0,1
Female,48,152,99,42.8,Build Muscle,105,1,0,1,0,1
Female,33,196,63,16.4,Get Fit,63,1,1,1,0,0
Female,52,171,72,24.6,Get Fit,72,0,1,0,1,0
Male,22,195,108,28.4,Lose Weight,101,1,0,0,0,0
Male,20,170,89,30.8,Get Fit,89,0,0,0,1,1
Female,20,198,74,18.9,Build Muscle,81,0,0,1,0,0
Female,25,173,105,35.1,Build Muscle,114,0,1,1,0,0
Female,49,173,116,38.8,Build Muscle,119,1,1,0,1,0
Other,29,184,87,25.7,Build Muscle,90,0,0,1,0,0
Other,36,169,107,37.5,Get Fit,107,0,1,1,1,0
Female,40,178,55,17.4,Get Fit,55,0,0,0,1,1
Female,58,200,57,14.2,Lose Weight,44,0,0,1,1,1
Other,28,151,68,29.8,Get Fit,68,1,0,0,1,1
Male,33,199,96,24.2,Build Muscle,104,1,1,1,0,0
Female,41,173,106,35.4,Lose Weight,94,0,0,0,0,1
Female,43,170,85,29.4,Lose Weight,81,0,1,0,0,0
Female,51,174,65,21.5,Build Muscle,71,0,1,1,1,0
Female,49,162,65,24.8,Lose Weight,61,0,1,0,1,0
Male,38,192,94,25.5,Get Fit,94,0,0,0,0,1
Other,36,169,70,24.5,Get Fit,70,0,1,1,1,0
Male,25,162,67,25.5,Lose Weight,52,1,0,1,0,0
Other,54,173,109,36.4,Get Fit,109,0,0,0,0,1
Male,22,169,100,35.0,Get Fit,100,0,1,0,1,1
Other,22,158,90,36.1,Get Fit,90,0,0,0,1,0
Female,51,172,66,22.3,Get Fit,66,1,1,0,0,1
Female,50,153,65,27.8,Get Fit,65,0,0,1,0,0
Male,28,170,78,27.0,Build Muscle,88,1,0,1,0,0
Male,58,185,85,24.8,Lose Weight,72,1,0,0,0,1
Other,59,160,69,27.0,Lose Weight,56,0,0,1,1,1
Male,19,155,55,22.9,Get Fit,55,0,1,1,0,1
Female,57,190,53,14.7,Build Muscle,63,0,0,1,1,0
Male,43,169,108,37.8,Lose Weight,94,0,1,0,0,0
Female,44,180,109,33.6,Lose Weight,101,0,1,1,1,0
Female,40,175,66,21.6,Build Muscle,76,1,0,1,0,1
Female,25,167,107,38.4,Lose Weight,102,1,0,0,0,0
Female,42,189,103,28.8,Lose Weight,98,0,0,1,0,1
Male,28,181,115,35.1,Build Muscle,124,1,0,0,1,0
Male,43,182,108,32.6,Lose Weight,102,1,0,1,1,0
Female,49,188,110,31.1,Build Muscle,120,1,0,0,0,0
Female,26,166,96,34.8,Build Muscle,103,0,0,0,1,0
Male,54,185,74,21.6,Build Muscle,84,1,0,0,1,0
Other,46,198,120,30.6,Build Muscle,123,1,0,0,0,0
Female,41,200,93,23.2,Get Fit,93,0,1,0,0,1
Other,50,175,114,37.2,Lose Weight,111,0,1,0,0,0
Other,39,180,116,35.8,Build Muscle,120,0,1,0,1,1
Other,38,160,100,39.1,Get Fit,100,0,0,1,1,1
Other,52,181,88,26.9,Build Muscle,90,1,0,1,0,0
Female,55,169,53,18.6,Get Fit,53,0,1,1,0,0
Other,21,187,111,31.7,Lose Weight,100,1,0,0,1,1
Other,33,152,64,27.7,Lose Weight,61,0,0,1,1,0
Male,44,194,76,20.2,Build Muscle,86,1,0,1,1,0
Male,51,163,91,34.3,Get Fit,91,0,0,0,1,1
Female,29,179,118,36.8,Build Muscle,128,0,0,1,1,0
Male,33,167,88,31.6,Lose Weight,81,0,1,0,1,0
Female,48,172,85,28.7,Build Muscle,88,0,1,0,1,1
Female,27,168,55,19.5,Build Muscle,58,0,0,1,1,0
Other,48,163,75,28.2,Get Fit,75,0,0,1,0,1
Male,24,189,80,22.4,Lose Weight,77,0,1,1,0,1
Male,21,156,102,41.9,Build Muscle,111,0,1,0,0,0
Male,53,160,102,39.8,Get Fit,102,0,1,0,1,0
Female,38,168,57,20.2,Lose Weight,44,1,1,0,1,0
Female,29,152,100,43.3,Build Muscle,104,1,0,1,1,0
Female,54,188,63,17.8,Build Muscle,69,0,0,0,1,1
Male,50,179,84,26.2,Lose Weight,69,0,0,1,0,0
Male,47,191,82,22.5,Get Fit,82,1,0,0,0,0
Other,39,200,87,21.8,Get Fit,87,0,1,1,0,1
Other,43,177,115,36.7,Build Muscle,118,1,1,0,0,0
Male,48,170,81,28.0,Lose Weight,74,0,1,0,1,0
Female,39,169,51,17.9,Build Muscle,58,1,1,1,0,0
Male,47,169,70,24.5,Build Muscle,80,1,0,1,0,1
Female,41,189,78,21.8,Lose Weight,73,0,1,0,1,0
Other,56,173,103,34.4,Get Fit,103,1,1,0,1,0
Other,56,200,60,15.0,Get Fit,60,0,0,1,0,1
Male,54,157,57,23.1,Get Fit,57,1,1,0,0,1
Female,51,178,64,20.2,Get Fit,64,0,0,0,0,1
Female,23,182,107,32.3,Lose Weight,97,0,0,0,0,1
Female,47,186,57,16.5,Get Fit,57,1,0,1,0,0
Female,34,150,77,34.2,Get Fit,77,1,0,0,0,0
Female,40,194,58,15.4,Get Fit,58,1,0,0,0,0
Female,20,168,102,36.1,Lose Weight,87,0,0,0,1,0
Female,42,178,98,30.9,Build Muscle,101,0,1,1,0,1
Female,25,161,118,45.5,Build Muscle,128,0,1,0,0,0
Male,19,169,109,38.2,Get Fit,109,0,0,1,1,1
Female,32,165,108,39.7,Build Muscle,112,1,1,0,0,0
Male,60,176,52,16.8,Lose Weight,46,1,0,0,0,0
Other,20,178,56,17.7,Lose Weight,42,0,0,0,1,0
Female,32,184,77,22.7,Lose Weight,72,0,1,1,0,1
Other,38,186,91,26.3,Lose Weight,84,0,0,0,0,1
Male,44,169,85,29.8,Lose Weight,74,0,1,1,1,0
Female,21,172,98,33.1,Get Fit,98,0,0,0,1,1
Male,37,174,73,24.1,Get Fit,73,0,1,0,0,1
Female,27,179,57,17.8,Get Fit,57,0,1,0,1,0
Female,33,166,76,27.6,Build Muscle,79,1,0,1,0,0
Other,30,153,84,35.9,Build Muscle,86,0,1,0,0,0
Other,60,185,77,22.5,Build Muscle,82,1,0,1,0,0
Male,30,197,65,16.7,Get Fit,65,0,1,0,0,1
Female,33,185,91,26.6,Build Muscle,99,0,0,1,0,1
Female,34,173,115,38.4,Build Muscle,124,0,0,0,1,0
Female,31,173,90,30.1,Build Muscle,92,1,1,0,0,1
Female,53,187,103,29.5,Build Muscle,107,0,0,1,0,0
Male,42,186,81,23.4,Build Muscle,91,0,1,1,0,1
Other,59,197,112,28.9,Build Muscle,116,1,1,1,0,0
Other,52,181,73,22.3,Get Fit,73,1,0,0,1,1
Other,21,198,50,12.8,Build Muscle,54,1,1,1,0,0
Male,18,163,114,42.9,Build Muscle,121,0,0,0,0,1
Other,60,189,111,31.1,Get Fit,111,1,0,0,0,1
Other,53,176,51,16.5,Lose Weight,40,1,0,1,0,1
Other,45,161,63,24.3,Lose Weight,52,0,1,0,0,0
Male,57,183,82,24.5,Build Muscle,88,1,0,1,0,0
Female,47,186,81,23.4,Get Fit,81,0,0,1,0,0
Other,23,191,54,14.8,Lose Weight,45,0,0,0,1,1
Male,58,150,71,31.6,Lose Weight,61,1,0,1,0,0
Other,20,164,77,28.6,Get Fit,77,1,0,1,1,0
Male,35,184,54,15.9,Lose Weight,46,0,1,0,0,0
Other,27,198,100,25.5,Lose Weight,93,0,0,0,0,1
Male,54,174,119,39.3,Build Muscle,127,1,1,1,0,0
Other,40,153,62,26.5,Build Muscle,67,0,0,1,0,0
Other,57,188,100,28.3,Build Muscle,102,0,1,1,1,0
Male,40,185,98,28.6,Build Muscle,102,1,0,0,1,1
Other,36,165,59,21.7,Lose Weight,52,0,0,0,1,0
Other,58,159,99,39.2,Build Muscle,106,1,0,0,0,0
Male,37,178,96,30.3,Build Muscle,99,1,0,0,0,0
Male,45,178,115,36.3,Build Muscle,118,1,0,0,0,0
Female,53,155,91,37.9,Build Muscle,93,0,0,0,1,1
Male,53,165,116,42.6,Lose Weight,103,0,1,0,0,1
Female,37,167,113,40.5,Lose Weight,109,0,0,0,1,0
Female,44,169,111,38.9,Lose Weight,103,0,1,0,1,0
Other,57,162,108,41.2,Lose Weight,103,1,0,0,1,0
Female,57,174,92,30.4,Build Muscle,99,0,1,0,0,1
Female,38,188,75,21.2,Build Muscle,82,0,0,0,1,0
Female,36,197,112,28.9,Get Fit,112,0,0,1,0,0
Female,35,200,100,25.0,Build Muscle,103,0,1,1,0,1
Other,19,196,109,28.4,Get Fit,109,0,0,0,1,0
Female,22,200,102,25.5,Get Fit,102,0,1,1,0,0
Male,34,192,69,18.7,Get Fit,69,1,0,0,1,0
Female,56,180,101,31.2,Get Fit,101,1,1,0,1,0
Other,52,188,60,17.0,Lose Weight,45,0,0,1,0,0
Male,59,189,55,15.4,Get Fit,55,0,1,1,1,0
Male,18,156,83,34.1,Lose Weight,72,0,1,0,1,1
Female,43,179,114,35.6,Lose Weight,106,0,0,0,1,0
Male,36,176,60,19.4,Lose Weight,46,0,0,1,0,0
Female,39,179,76,23.7,Get Fit,76,0,0,1,1,0
Male,46,196,107,27.9,Build Muscle,110,1,0,0,0,1
Male,39,191,63,17.3,Get Fit,63,0,1,0,0,0
Other,29,185,70,20.5,Build Muscle,80,0,1,0,1,0
Female,58,161,73,28.2,Get Fit,73,1,0,0,1,1
Other,57,162,107,40.8,Get Fit,107,1,0,0,1,0
Other,31,163,85,32.0,Get Fit,85,0,0,0,0,1
Male,52,161,96,37.0,Build Muscle,101,1,0,1,0,0
Other,49,183,90,26.9,Get Fit,90,0,0,0,1,1
Other,25,172,95,32.1,Build Muscle,99,1,0,1,0,1
Male,38,157,80,32.5,Build Muscle,83,0,0,1,0,0
Other,27,182,99,29.9,Build Muscle,103,1,0,0,1,1
Female,58,184,72,21.3,Get Fit,72,0,0,0,1,0
Female,26,161,90,34.7,Build Muscle,92,1,0,0,1,0
Male,30,174,114,37.7,Get Fit,114,0,0,0,1,1
Female,46,181,71,21.7,Lose Weight,59,0,1,0,0,0
Female,20,167,78,28.0,Get Fit,78,0,1,0,1,0
Other,49,185,115,33.6,Lose Weight,103,0,0,1,0,0
Other,41,184,55,16.2,Get Fit,55,0,1,0,0,1
Female,24,197,81,20.9,Build Muscle,83,0,0,1,0,1
Male,46,157,80,32.5,Lose Weight,65,0,0,1,1,1
Other,58,177,71,22.7,Get Fit,71,0,1,0,0,0
Male,21,186,94,27.2,Get Fit,94,0,1,0,0,1
Female,36,168,84,29.8,Get Fit,84,1,1,0,1,0
Male,35,191,66,18.1,Get Fit,66,0,1,0,0,0
Male,38,165,100,36.7,Build Muscle,104,0,1,1,1,0
Female,22,190,61,16.9,Build Muscle,71,0,1,1,0,1
Female,38,187,50,14.3,Get Fit,50,0,0,0,1,0
Other,60,194,95,25.2,Lose Weight,80,0,1,0,1,1
Male,49,167,91,32.6,Build Muscle,98,0,1,1,0,1
Female,39,193,56,15.0,Lose Weight,52,1,0,0,1,1
Male,46,179,50,15.6,Build Muscle,55,1,1,1,0,0
Female,23,191,96,26.3,Build Muscle,99,1,1,0,0,0
Female,58,169,79,27.7,Build Muscle,82,1,0,0,1,1
Female,22,158,78,31.2,Get Fit,78,1,0,0,1,1
Other,39,157,104,42.2,Get Fit,104,0,0,0,1,0
Male,32,174,61,20.1,Get Fit,61,1,0,0,0,0
Female,41,169,67,23.5,Build Muscle,71,1,1,1,0,0
Other,18,189,71,19.9,Build Muscle,78,0,1,0,1,1
Other,46,163,61,23.0,Lose Weight,56,0,0,0,0,1
Other,42,172,104,35.2,Build Muscle,108,0,0,1,0,0
Other,23,165,120,44.1,Get Fit,120,0,0,1,1,1
Male,60,169,76,26.6,Get Fit,76,0,1,1,0,1
Female,36,191,56,15.4,Lose Weight,46,1,1,0,0,0
Female,58,188,59,16.7,Get Fit,59,0,0,1,0,0
Female,26,174,103,34.0,Build Muscle,113,1,1,0,1,0
Male,55,154,51,21.5,Build Muscle,56,1,0,0,0,0
Female,50,168,114,40.4,Build Muscle,122,1,0,1,1,0
Other,52,189,69,19.3,Build Muscle,72,1,1,0,0,0
Male,52,170,100,34.6,Get Fit,100,1,0,1,1,0
Female,33,153,81,34.6,Lose Weight,72,0,0,0,1,0
Other,56,153,89,38.0,Get Fit,89,1,1,0,1,0
Other,26,194,51,13.6,Lose Weight,41,0,0,1,0,1
Male,41,158,84,33.6,Get Fit,84,1,0,0,0,0
Female,45,167,117,42.0,Lose Weight,110,1,1,0,0,1
Female,50,173,57,19.0,Build Muscle,61,0,1,1,0,0
Male,54,193,64,17.2,Lose Weight,50,1,0,0,1,1
Male,20,180,96,29.6,Build Muscle,100,1,0,0,0,0
Other,59,176,78,25.2,Build Muscle,83,0,0,1,0,1
Male,54,173,65,21.7,Get Fit,65,1,1,0,0,1
Other,20,175,58,18.9,Build Muscle,64,1,0,1,0,0
Other,47,150,97,43.1,Lose Weight,90,0,1,1,1,0
Female,55,181,75,22.9,Get Fit,75,1,1,0,0,1
Female,19,164,119,44.2,Build Muscle,121,1,0,0,1,0
Other,37,156,76,31.2,Get Fit,76,0,0,0,1,0
Female,21,159,85,33.6,Lose Weight,82,0,0,0,0,1
Female,41,179,60,18.7,Get Fit,60,0,0,0,0,1
Male,58,175,59,19.3,Get Fit,59,1,0,1,1,0
Male,33,168,83,29.4,Build Muscle,91,0,1,1,0,1
Female,32,154,75,31.6,Lose Weight,60,1,1,0,0,1
Male,46,179,90,28.1,Build Muscle,93,0,1,1,1,0
Female,47,166,65,23.6,Lose Weight,60,1,0,1,1,0
Female,27,155,81,33.7,Build Muscle,89,1,1,1,0,0
Male,19,175,107,34.9,Get Fit,107,1,1,0,0,1
Female,24,200,67,16.8,Lose Weight,64,0,1,0,0,0
Male,30,175,97,31.7,Get Fit,97,1,0,1,0,1
Male,22,162,106,40.4,Lose Weight,102,1,0,0,0,1
