Gender,Age,Height_cm,Weight_kg,Fitness_Goal,Goal_Weight_kg,Has_No_Equipment,Has_Dumbbells,Has_Stationary_Bike,Has_Resistance_Band,Has_Yoga_Mat,Experience_Level,BMI
Male,52,183,97,Build Muscle,70,1,0,0,1,1,Beginner,28.96
Female,18,191,58,Build Muscle,56,0,1,1,1,0,Beginner,15.9
Female,38,167,54,Lose Weight,47,0,0,0,0,0,Advanced,19.36
Female,23,191,77,Get Fit,62,1,0,1,1,1,Intermediate,21.11
Male,45,181,43,Lose Weight,68,0,0,0,1,1,Beginner,13.13
Female,34,168,59,Build Muscle,62,1,1,0,0,1,Beginner,20.9
Male,22,184,93,Build Muscle,58,0,0,1,0,1,Beginner,27.47
Male,48,186,78,Get Fit,58,0,1,0,0,1,Intermediate,22.55
Male,22,165,82,Lose Weight,66,0,1,0,0,0,Beginner,30.12
Male,55,187,60,Build Muscle,56,1,0,0,0,1,Beginner,17.16
Male,20,180,46,Get Fit,61,1,1,0,1,1,Beginner,14.2
Female,40,193,80,Lose Weight,72,1,1,1,0,0,Intermediate,21.48
Female,54,165,83,Lose Weight,51,1,0,1,1,0,Advanced,30.49
Female,54,166,83,Build Muscle,64,0,0,0,1,0,Intermediate,30.12
Female,27,149,73,Build Muscle,47,0,0,0,0,1,Beginner,32.88
Female,27,175,55,Lose Weight,67,0,1,1,1,0,Advanced,17.96
Male,36,173,106,Lose Weight,55,0,0,0,1,0,Intermediate,35.42
Female,34,164,77,Build Muscle,75,1,1,1,0,0,Advanced,28.63
Female,38,169,67,Lose Weight,50,0,1,0,1,0,Beginner,23.46
Male,31,156,67,Build Muscle,69,0,1,1,0,1,Beginner,27.53
Female,26,181,72,Lose Weight,77,0,1,1,0,1,Intermediate,21.98
Male,18,165,86,Build Muscle,54,1,1,1,0,1,Beginner,31.59
Female,30,200,72,Get Fit,56,1,0,1,1,0,Intermediate,18.0
Male,21,168,82,Build Muscle,55,1,0,0,1,0,Advanced,29.05
Female,18,162,72,Build Muscle,60,0,1,0,1,0,Advanced,27.43
Female,57,165,68,Get Fit,70,1,1,1,1,0,Advanced,24.98
Male,49,155,79,Lose Weight,59,0,0,1,0,0,Intermediate,32.88
Male,51,174,79,Get Fit,53,0,0,1,1,0,Beginner,26.09
Male,45,165,67,Build Muscle,44,0,1,1,0,1,Beginner,24.61
Male,48,181,58,Lose Weight,81,1,1,0,1,1,Beginner,17.7
Male,25,167,75,Get Fit,81,1,0,1,1,0,Intermediate,26.89
Male,56,183,71,Lose Weight,70,0,0,1,1,1,Beginner,21.2
Male,43,177,61,Lose Weight,56,0,1,1,1,0,Beginner,19.47
Male,51,170,57,Get Fit,72,1,0,1,1,0,Intermediate,19.72
Female,20,185,76,Lose Weight,74,1,0,1,0,1,Intermediate,22.21
Female,29,179,78,Get Fit,62,1,1,1,1,0,Advanced,24.34
Male,18,199,64,Build Muscle,65,0,1,1,1,1,Intermediate,16.16
Female,22,165,61,Lose Weight,77,0,1,0,1,0,Intermediate,22.41
Female,47,170,57,Build Muscle,48,0,0,1,1,0,Intermediate,19.72
Female,47,185,75,Build Muscle,74,1,1,1,0,1,Advanced,21.91
Female,34,154,57,Lose Weight,61,1,0,1,1,0,Intermediate,24.03
Male,40,183,103,Get Fit,53,1,1,0,0,0,Advanced,30.76
Female,32,174,63,Lose Weight,54,0,1,0,1,0,Advanced,20.81
Male,54,161,33,Build Muscle,56,0,0,0,0,1,Advanced,12.73
Female,38,156,69,Build Muscle,52,1,0,1,0,0,Beginner,28.35
Female,31,163,68,Get Fit,82,0,1,1,0,0,Beginner,25.59
Female,19,147,86,Lose Weight,69,1,1,1,0,0,Beginner,39.8
Male,28,165,74,Build Muscle,75,0,0,0,0,1,Beginner,27.18
Female,56,176,57,Build Muscle,70,1,1,1,1,1,Beginner,18.4
Male,55,165,65,Build Muscle,65,0,0,0,0,1,Beginner,23.88
Female,51,183,74,Get Fit,65,0,0,0,1,1,Beginner,22.1
Male,55,186,37,Build Muscle,61,1,1,0,0,1,Intermediate,10.69
Female,51,182,90,Build Muscle,61,1,0,0,0,0,Intermediate,27.17
Male,35,172,57,Lose Weight,50,1,0,0,1,1,Beginner,19.27
Male,47,146,91,Lose Weight,75,1,0,1,0,1,Intermediate,42.69
Female,32,162,75,Build Muscle,46,1,1,1,0,0,Intermediate,28.58
Male,44,168,79,Build Muscle,54,0,0,0,0,1,Intermediate,27.99
Female,51,161,87,Lose Weight,85,1,1,1,0,0,Advanced,33.56
Female,55,168,78,Get Fit,66,1,1,1,1,1,Beginner,27.64
Female,50,186,80,Get Fit,66,1,1,0,0,0,Beginner,23.12
Female,41,153,67,Get Fit,71,0,0,0,0,0,Beginner,28.62
Female,32,188,75,Get Fit,49,1,0,1,1,1,Beginner,21.22
Female,47,178,61,Get Fit,51,1,1,1,1,1,Intermediate,19.25
Female,59,172,64,Get Fit,60,1,1,1,0,0,Beginner,21.63
Female,34,162,99,Get Fit,55,0,0,1,0,0,Beginner,37.72
Female,22,161,57,Get Fit,64,0,1,0,1,0,Beginner,21.99
Female,46,153,72,Lose Weight,69,1,1,1,0,0,Beginner,30.76
Female,21,187,71,Get Fit,78,0,0,0,1,0,Intermediate,20.3
Male,27,185,65,Get Fit,73,1,1,0,0,0,Intermediate,18.99
Male,34,155,77,Get Fit,55,0,0,1,1,0,Beginner,32.05
Female,27,164,78,Build Muscle,61,1,0,1,1,1,Beginner,29.0
Female,34,174,56,Lose Weight,58,0,1,1,1,0,Beginner,18.5
Female,37,167,71,Lose Weight,54,1,0,0,0,1,Beginner,25.46
Female,41,150,53,Lose Weight,52,1,0,0,0,1,Advanced,23.56
Female,22,163,81,Get Fit,81,0,0,0,0,0,Beginner,30.49
Female,51,189,72,Get Fit,65,1,1,0,0,0,Intermediate,20.16
Female,23,164,71,Build Muscle,62,1,1,1,1,1,Advanced,26.4
Female,19,168,79,Lose Weight,69,1,1,0,1,0,Beginner,27.99
Male,30,158,65,Get Fit,70,1,0,0,1,0,Beginner,26.04
Female,28,175,83,Lose Weight,76,0,0,1,0,1,Advanced,27.1
Male,40,171,55,Build Muscle,57,1,1,0,0,1,Advanced,18.81
Female,33,162,91,Build Muscle,69,0,1,0,0,1,Beginner,34.67
Female,48,156,61,Build Muscle,55,0,0,1,1,0,Intermediate,25.07
Male,28,184,44,Lose Weight,63,0,1,0,0,0,Advanced,13.0
Female,33,153,65,Get Fit,65,0,1,0,0,1,Beginner,27.77
Male,25,175,63,Get Fit,66,1,1,0,1,0,Advanced,20.57
Female,21,148,64,Build Muscle,66,1,1,0,1,1,Beginner,29.22
Female,57,177,73,Get Fit,73,0,1,1,0,0,Intermediate,23.3
Male,21,179,86,Build Muscle,59,1,0,0,1,1,Advanced,26.84
Female,42,180,67,Lose Weight,66,0,1,1,0,0,Advanced,20.68
Male,20,168,59,Build Muscle,57,1,1,0,1,1,Beginner,20.9
Female,49,185,53,Lose Weight,94,1,0,1,1,0,Beginner,15.49
Male,20,193,62,Build Muscle,55,1,0,1,1,0,Intermediate,16.64
Male,44,166,41,Get Fit,57,0,0,1,0,1,Intermediate,14.88
Female,46,165,59,Get Fit,73,0,0,0,0,0,Intermediate,21.67
Female,49,171,88,Build Muscle,60,1,1,0,0,0,Advanced,30.09
Male,36,165,57,Get Fit,73,0,1,0,1,1,Advanced,20.94
Female,38,163,79,Get Fit,66,0,1,1,1,0,Beginner,29.73
Female,22,164,51,Get Fit,60,1,1,0,1,0,Beginner,18.96
Female,35,187,96,Lose Weight,57,0,0,0,1,0,Beginner,27.45
Male,45,177,97,Get Fit,57,1,0,0,0,1,Intermediate,30.96
Male,59,165,78,Lose Weight,61,1,1,0,0,1,Intermediate,28.65
Male,39,145,99,Build Muscle,63,1,1,1,0,1,Intermediate,47.09
Male,38,154,75,Get Fit,56,0,1,1,1,1,Beginner,31.62
Male,23,175,81,Get Fit,63,1,1,0,1,1,Beginner,26.45
Male,18,148,88,Get Fit,54,1,0,0,0,0,Beginner,40.18
Male,22,172,72,Build Muscle,72,0,1,0,1,0,Intermediate,24.34
Male,58,159,46,Lose Weight,74,0,0,1,0,1,Beginner,18.2
Male,29,170,81,Lose Weight,57,0,0,0,1,0,Beginner,28.03
Female,43,170,62,Get Fit,57,0,0,1,1,0,Beginner,21.45
Male,51,171,64,Build Muscle,66,1,0,1,0,0,Intermediate,21.89
Female,31,166,74,Build Muscle,77,0,1,0,0,0,Beginner,26.85
Female,43,165,78,Build Muscle,79,0,1,0,1,1,Advanced,28.65
Female,44,162,72,Build Muscle,50,0,1,0,0,1,Intermediate,27.43
Male,26,174,79,Build Muscle,75,0,1,1,0,0,Intermediate,26.09
Male,43,178,59,Lose Weight,64,1,0,1,1,0,Intermediate,18.62
Male,39,157,69,Lose Weight,64,0,0,0,1,1,Beginner,27.99
Male,47,169,82,Lose Weight,70,1,0,1,1,0,Beginner,28.71
Female,34,171,96,Get Fit,60,0,1,0,0,0,Advanced,32.83
Male,43,171,101,Build Muscle,75,1,0,0,1,0,Intermediate,34.54
Male,53,171,76,Get Fit,79,1,0,1,1,1,Advanced,25.99
Male,18,165,82,Build Muscle,79,0,0,1,1,1,Intermediate,30.12
Male,25,172,99,Lose Weight,46,1,0,1,1,0,Beginner,33.46
Male,52,176,59,Get Fit,62,0,1,1,1,0,Beginner,19.05
Female,32,171,79,Lose Weight,45,1,0,0,0,0,Intermediate,27.02
Male,39,175,81,Build Muscle,57,1,0,0,1,0,Beginner,26.45
Female,31,179,91,Build Muscle,41,1,1,0,1,0,Beginner,28.4
Male,43,151,52,Build Muscle,69,0,1,1,0,0,Advanced,22.81
Female,45,179,55,Lose Weight,67,1,1,0,1,1,Beginner,17.17
Male,40,173,70,Build Muscle,60,0,0,1,1,1,Beginner,23.39
Male,31,158,75,Lose Weight,57,1,0,1,0,0,Advanced,30.04
Female,41,178,86,Get Fit,68,1,0,1,1,1,Advanced,27.14
Female,19,166,77,Build Muscle,54,1,0,0,0,0,Beginner,27.94
Female,43,167,67,Build Muscle,54,1,1,1,1,0,Advanced,24.02
Male,31,164,76,Build Muscle,52,1,0,1,0,1,Advanced,28.26
Female,24,173,74,Get Fit,62,1,0,1,0,1,Beginner,24.73
Male,20,162,96,Build Muscle,59,0,1,1,1,0,Beginner,36.58
Male,40,179,72,Lose Weight,61,0,1,1,0,0,Beginner,22.47
Female,35,168,64,Lose Weight,70,0,1,1,0,1,Intermediate,22.68
Female,55,166,76,Build Muscle,74,1,0,1,1,1,Beginner,27.58
Male,52,177,72,Build Muscle,79,0,0,1,1,0,Advanced,22.98
Male,32,166,46,Get Fit,65,1,0,1,0,0,Intermediate,16.69
Female,42,179,69,Get Fit,68,0,0,1,1,0,Intermediate,21.53
Female,54,179,68,Get Fit,66,0,0,1,0,1,Advanced,21.22
Female,45,156,61,Build Muscle,48,1,1,1,0,0,Advanced,25.07
Male,27,181,85,Get Fit,61,1,1,0,1,1,Beginner,25.95
Male,56,155,58,Get Fit,61,0,0,0,1,0,Beginner,24.14
Male,34,181,76,Lose Weight,59,0,0,1,0,1,Intermediate,23.2
Male,56,190,67,Get Fit,64,0,0,1,1,1,Beginner,18.56
Male,39,178,71,Lose Weight,62,0,0,1,1,1,Beginner,22.41
Male,43,148,76,Lose Weight,55,1,0,0,0,1,Intermediate,34.7
Female,42,180,50,Get Fit,63,0,1,0,0,0,Advanced,15.43
Male,34,192,72,Lose Weight,58,1,1,0,0,1,Beginner,19.53
Male,30,166,104,Build Muscle,38,1,1,1,0,1,Intermediate,37.74
Male,37,169,46,Build Muscle,51,0,0,1,0,1,Beginner,16.11
Female,42,158,69,Get Fit,65,1,0,1,0,0,Intermediate,27.64
Male,21,173,86,Build Muscle,75,0,1,1,1,0,Beginner,28.73
Male,27,182,74,Lose Weight,40,1,1,0,0,0,Advanced,22.34
Female,20,176,80,Build Muscle,56,1,0,1,1,0,Beginner,25.83
Male,58,201,34,Get Fit,69,0,1,0,1,0,Intermediate,8.42
Male,35,170,78,Get Fit,73,1,1,0,0,0,Beginner,26.99
Male,53,153,58,Lose Weight,60,1,0,1,1,1,Beginner,24.78
Male,39,171,74,Get Fit,58,0,1,0,0,1,Beginner,25.31
Male,51,145,69,Build Muscle,77,1,1,0,1,1,Beginner,32.82
Female,25,164,104,Get Fit,72,1,1,0,0,0,Beginner,38.67
Female,57,186,78,Lose Weight,73,0,0,0,0,1,Beginner,22.55
Female,36,173,68,Get Fit,60,0,1,1,0,1,Intermediate,22.72
Male,59,171,47,Build Muscle,76,1,1,1,0,0,Intermediate,16.07
Male,58,188,71,Lose Weight,45,1,1,0,1,1,Beginner,20.09
Male,54,167,82,Build Muscle,76,1,0,1,1,0,Intermediate,29.4
Female,23,182,68,Lose Weight,64,0,0,0,1,1,Beginner,20.53
Male,43,171,62,Get Fit,66,1,1,1,1,0,Intermediate,21.2
Male,51,173,61,Lose Weight,55,1,0,1,1,0,Beginner,20.38
Female,23,157,78,Lose Weight,46,1,1,1,0,0,Intermediate,31.64
Male,54,165,81,Get Fit,66,1,0,1,0,1,Beginner,29.75
Female,50,156,90,Build Muscle,70,1,0,1,0,1,Advanced,36.98
Female,39,169,55,Get Fit,72,1,1,0,0,0,Beginner,19.26
Female,38,173,77,Lose Weight,70,0,1,1,0,0,Beginner,25.73
Male,23,158,68,Get Fit,68,0,1,0,1,1,Beginner,27.24
Male,23,190,68,Lose Weight,55,1,0,0,0,1,Advanced,18.84
Male,21,172,76,Get Fit,72,1,1,1,0,0,Intermediate,25.69
Male,47,170,76,Get Fit,54,0,0,0,1,1,Intermediate,26.3
Male,28,177,77,Build Muscle,76,0,0,1,1,1,Advanced,24.58
Male,47,161,54,Lose Weight,64,0,1,0,0,1,Advanced,20.83
Male,48,171,58,Build Muscle,64,1,0,0,0,0,Intermediate,19.84
Female,41,162,92,Lose Weight,73,1,1,1,1,0,Beginner,35.06
Male,26,185,66,Get Fit,75,1,0,1,0,1,Advanced,19.28
Female,20,159,74,Lose Weight,72,1,1,1,0,0,Beginner,29.27
Male,48,170,85,Build Muscle,56,0,0,1,0,1,Intermediate,29.41
Male,57,173,76,Build Muscle,72,0,0,0,1,1,Intermediate,25.39
Male,54,173,78,Build Muscle,56,0,1,1,0,0,Intermediate,26.06
Female,53,164,83,Lose Weight,72,0,0,0,0,0,Intermediate,30.86
Female,41,161,38,Build Muscle,50,1,1,0,1,0,Intermediate,14.66
Female,48,164,62,Build Muscle,64,1,0,0,1,1,Advanced,23.05
Female,23,175,77,Build Muscle,56,0,0,0,1,1,Beginner,25.14
Male,19,168,90,Get Fit,73,0,0,0,0,0,Beginner,31.89
Female,37,177,70,Get Fit,76,0,1,0,1,0,Intermediate,22.34
Male,45,174,57,Lose Weight,66,0,1,1,0,0,Advanced,18.83
Male,28,147,57,Lose Weight,66,0,1,0,1,1,Beginner,26.38
Female,21,172,83,Build Muscle,72,1,1,0,0,1,Beginner,28.06
Female,32,192,66,Get Fit,76,1,1,0,1,1,Beginner,17.9
Female,23,183,69,Build Muscle,65,0,0,1,0,0,Beginner,20.6
Female,47,174,79,Build Muscle,60,0,0,1,0,0,Advanced,26.09
Female,55,159,26,Get Fit,71,0,1,0,1,1,Intermediate,10.28
Female,19,174,100,Get Fit,46,1,0,1,1,0,Intermediate,33.03
Female,32,177,59,Get Fit,74,1,0,0,0,0,Intermediate,18.83
Female,28,167,73,Lose Weight,57,1,0,1,1,0,Intermediate,26.18
Male,25,173,44,Lose Weight,62,0,0,0,0,0,Beginner,14.7
Female,43,185,63,Build Muscle,74,1,1,1,1,1,Beginner,18.41
Female,22,161,88,Lose Weight,60,0,0,1,1,0,Beginner,33.95
Male,23,159,41,Get Fit,71,1,1,1,0,1,Beginner,16.22
Female,43,176,86,Get Fit,76,1,1,0,1,1,Beginner,27.76
Male,21,174,65,Lose Weight,66,1,0,0,1,0,Beginner,21.47
Male,36,180,77,Build Muscle,68,0,1,0,0,1,Beginner,23.77
Female,37,175,79,Build Muscle,63,0,0,1,0,1,Beginner,25.8
Male,50,164,76,Lose Weight,66,1,0,1,1,0,Intermediate,28.26
Male,37,174,57,Build Muscle,53,0,0,0,0,1,Beginner,18.83
Male,29,158,64,Build Muscle,62,0,1,1,1,1,Advanced,25.64
Male,18,167,48,Build Muscle,52,0,1,0,1,1,Beginner,17.21
Female,43,175,77,Get Fit,56,0,1,0,0,1,Intermediate,25.14
Male,31,166,95,Get Fit,44,0,0,0,0,1,Advanced,34.48
Female,55,194,42,Lose Weight,67,0,0,0,0,1,Advanced,11.16
Male,54,151,58,Get Fit,81,0,0,1,0,1,Advanced,25.44
Male,28,164,67,Build Muscle,60,1,1,1,0,1,Beginner,24.91
Male,53,160,72,Get Fit,74,0,0,1,0,0,Beginner,28.12
Male,30,162,83,Lose Weight,76,0,0,0,1,0,Beginner,31.63
Female,20,163,67,Get Fit,53,1,1,1,1,0,Beginner,25.22
Female,50,156,65,Build Muscle,55,1,1,0,0,1,Beginner,26.71
Male,23,177,86,Build Muscle,74,1,1,0,1,1,Advanced,27.45
Male,27,164,79,Lose Weight,64,1,0,0,1,1,Intermediate,29.37
Female,22,171,78,Get Fit,52,0,0,0,1,0,Intermediate,26.67
Male,40,165,71,Get Fit,58,1,0,0,1,0,Advanced,26.08
Male,27,163,84,Get Fit,69,1,1,0,0,0,Intermediate,31.62
Male,19,186,60,Build Muscle,57,0,1,1,1,1,Intermediate,17.34
Female,30,179,58,Lose Weight,37,0,1,1,1,0,Intermediate,18.1
Female,57,151,81,Get Fit,61,0,1,1,0,0,Beginner,35.52
Female,19,150,45,Build Muscle,62,1,0,1,0,1,Beginner,20.0
Male,37,180,71,Build Muscle,65,0,0,0,0,0,Advanced,21.91
Male,18,164,65,Build Muscle,77,1,0,0,0,1,Advanced,24.17
Female,54,153,48,Get Fit,65,0,0,1,1,0,Advanced,20.5
Female,26,180,56,Get Fit,67,0,0,1,0,1,Beginner,17.28
Female,34,171,68,Get Fit,75,1,0,1,1,1,Advanced,23.26
Female,26,172,85,Get Fit,65,0,0,1,1,1,Beginner,28.73
Male,28,178,60,Get Fit,86,0,0,1,0,1,Beginner,18.94
Female,32,156,88,Get Fit,52,0,1,1,0,1,Beginner,36.16
Male,41,153,70,Get Fit,55,0,1,1,0,0,Beginner,29.9
Female,55,185,89,Get Fit,71,0,0,1,0,1,Beginner,26.0
Male,52,155,60,Get Fit,77,1,1,0,0,1,Beginner,24.97
Female,47,157,69,Build Muscle,62,1,0,0,0,1,Beginner,27.99
Female,48,159,75,Get Fit,54,0,0,0,1,1,Beginner,29.67
Female,22,190,67,Lose Weight,82,1,1,0,1,0,Intermediate,18.56
Female,31,174,84,Build Muscle,57,1,0,1,1,1,Intermediate,27.74
Male,28,179,36,Get Fit,68,1,0,0,1,0,Beginner,11.24
Female,26,171,106,Lose Weight,78,0,0,1,0,1,Beginner,36.25
Male,51,163,82,Get Fit,60,0,0,0,0,1,Intermediate,30.86
Male,29,176,67,Lose Weight,58,0,0,1,1,0,Intermediate,21.63
Male,52,154,61,Lose Weight,59,1,0,1,1,0,Beginner,25.72
Male,52,159,57,Lose Weight,74,1,0,0,1,0,Intermediate,22.55
Female,18,177,79,Lose Weight,75,0,1,0,0,1,Advanced,25.22
Male,57,156,84,Build Muscle,65,0,1,1,0,0,Beginner,34.52
Male,39,168,67,Build Muscle,83,1,0,1,0,1,Beginner,23.74
Male,46,168,86,Lose Weight,65,1,1,1,1,0,Beginner,30.47
Female,25,164,56,Get Fit,77,0,0,0,1,0,Intermediate,20.82
Female,28,150,53,Lose Weight,60,1,0,0,0,1,Beginner,23.56
Female,58,163,97,Build Muscle,88,1,0,1,0,0,Beginner,36.51
Female,54,161,78,Get Fit,80,1,0,0,1,0,Beginner,30.09
Male,31,171,90,Build Muscle,63,1,1,1,1,1,Advanced,30.78
Male,47,171,57,Build Muscle,79,1,1,0,0,1,Intermediate,19.49
Female,52,173,56,Get Fit,78,1,1,0,1,1,Intermediate,18.71
Male,38,163,64,Lose Weight,80,1,1,0,0,0,Advanced,24.09
Male,54,175,57,Lose Weight,40,0,0,0,0,0,Beginner,18.61
Male,22,154,80,Lose Weight,72,0,1,0,1,0,Advanced,33.73
Female,36,151,58,Lose Weight,70,1,0,1,1,0,Intermediate,25.44
Female,31,146,52,Get Fit,69,1,0,1,1,0,Beginner,24.39
Male,43,165,72,Get Fit,67,1,1,0,0,1,Advanced,26.45
Female,21,162,50,Get Fit,67,0,0,1,1,0,Advanced,19.05
Female,42,177,43,Build Muscle,77,0,1,1,1,1,Advanced,13.73
Female,59,163,71,Get Fit,70,1,1,0,0,0,Beginner,26.72
Female,42,172,43,Lose Weight,67,0,1,1,0,1,Advanced,14.53
Female,35,178,81,Build Muscle,76,1,1,0,1,0,Advanced,25.56
Male,57,163,49,Lose Weight,69,1,1,1,0,0,Beginner,18.44
Female,25,172,36,Lose Weight,70,1,0,1,0,1,Beginner,12.17
Male,56,180,65,Get Fit,83,1,1,1,0,0,Beginner,20.06
Male,57,157,72,Get Fit,60,1,1,1,1,1,Advanced,29.21
Female,31,170,77,Lose Weight,49,1,0,1,1,0,Intermediate,26.64
Male,49,163,72,Lose Weight,65,1,1,1,0,0,Beginner,27.1
Male,55,158,54,Build Muscle,67,0,1,1,0,1,Beginner,21.63
Male,50,154,80,Get Fit,72,1,0,0,0,0,Beginner,33.73
Female,40,158,84,Build Muscle,66,0,0,0,1,1,Intermediate,33.65
Female,32,170,51,Build Muscle,72,1,1,0,0,0,Beginner,17.65
Male,50,153,67,Build Muscle,90,1,0,0,0,0,Advanced,28.62
Female,42,164,65,Lose Weight,73,0,1,1,1,0,Intermediate,24.17
Female,34,178,73,Build Muscle,74,0,0,1,0,0,Intermediate,23.04
Female,50,174,66,Build Muscle,63,1,1,1,1,0,Beginner,21.8
Female,19,164,68,Lose Weight,51,0,1,0,1,0,Beginner,25.28
Male,31,186,79,Get Fit,42,1,1,0,1,0,Beginner,22.84
Male,57,188,53,Get Fit,59,1,0,0,0,1,Beginner,15.0
Female,57,170,81,Build Muscle,39,0,1,1,0,0,Beginner,28.03
Female,56,145,87,Lose Weight,70,0,0,0,1,0,Advanced,41.38
Male,23,178,94,Get Fit,61,0,1,1,0,0,Beginner,29.67
Male,23,147,37,Build Muscle,51,0,1,0,1,1,Beginner,17.12
Female,20,184,67,Build Muscle,66,1,1,1,0,1,Beginner,19.79
Male,24,180,40,Lose Weight,57,0,1,0,1,0,Beginner,12.35
Female,25,187,33,Build Muscle,69,0,1,1,1,0,Advanced,9.44
Female,59,172,72,Get Fit,72,0,0,0,0,0,Beginner,24.34
Male,32,166,64,Lose Weight,57,0,0,0,0,1,Beginner,23.23
Male,46,165,74,Get Fit,62,0,0,1,0,0,Intermediate,27.18
Female,50,164,77,Get Fit,67,1,1,1,0,1,Beginner,28.63
Female,47,179,88,Get Fit,50,1,1,0,1,0,Beginner,27.46
Male,56,177,70,Build Muscle,67,0,0,1,1,1,Beginner,22.34
Female,44,171,113,Build Muscle,50,0,1,0,0,1,Beginner,38.64
Male,53,162,74,Get Fit,70,1,1,1,0,0,Beginner,28.2
Female,46,196,97,Get Fit,60,0,1,0,1,0,Beginner,25.25
Male,55,179,35,Lose Weight,50,1,0,1,0,0,Advanced,10.92
Male,50,154,90,Lose Weight,59,1,0,0,0,0,Beginner,37.95
Male,54,164,67,Build Muscle,59,0,0,0,0,0,Intermediate,24.91
Female,44,179,40,Build Muscle,75,1,0,0,0,0,Intermediate,12.48
Female,50,162,76,Lose Weight,66,0,0,1,1,0,Intermediate,28.96
Male,21,173,65,Get Fit,55,0,1,0,1,1,Beginner,21.72
Female,39,179,78,Build Muscle,81,1,1,1,0,0,Beginner,24.34
Male,19,136,85,Get Fit,71,1,1,1,1,0,Intermediate,45.96
Male,27,168,47,Lose Weight,61,0,1,1,0,1,Intermediate,16.65
Female,22,169,85,Build Muscle,49,1,0,0,0,0,Intermediate,29.76
Female,27,165,70,Build Muscle,60,0,0,1,0,0,Beginner,25.71
Male,50,173,90,Lose Weight,62,1,1,1,1,0,Advanced,30.07
Female,55,176,66,Build Muscle,68,1,0,1,1,0,Beginner,21.31
Female,30,171,62,Lose Weight,71,0,1,0,1,1,Beginner,21.2
Male,48,166,70,Build Muscle,73,0,1,1,1,1,Beginner,25.4
Male,53,176,71,Lose Weight,48,0,1,1,1,0,Beginner,22.92
Female,41,170,60,Build Muscle,67,1,1,1,0,0,Beginner,20.76
Male,32,167,62,Get Fit,63,0,0,1,0,1,Intermediate,22.23
Male,46,156,51,Get Fit,91,0,1,0,1,0,Advanced,20.96
Female,25,154,63,Get Fit,65,1,0,0,1,1,Advanced,26.56
Male,22,156,80,Build Muscle,58,1,1,1,1,1,Beginner,32.87
Male,46,172,67,Build Muscle,66,0,1,1,0,1,Intermediate,22.65
Female,21,169,85,Get Fit,64,0,1,1,1,0,Beginner,29.76
Female,29,155,67,Get Fit,45,0,1,1,0,0,Beginner,27.89
Male,19,176,48,Lose Weight,69,0,0,0,0,0,Beginner,15.5
Male,44,183,78,Lose Weight,61,1,1,0,1,1,Beginner,23.29
Female,48,164,59,Lose Weight,64,1,0,0,0,0,Beginner,21.94
Female,53,152,66,Get Fit,56,0,1,0,0,0,Beginner,28.57
Female,53,162,88,Get Fit,54,0,1,1,1,1,Intermediate,33.53
